"","Team","Year","R.G","Playoffs","SO.W","num_batters","AB","BB_own","HBP_own","SH","SF","LOB_own","IP","R_allowed","WHIP"
"777","PIT",2003,4.65,FALSE,1.84,0.283950617283951,34.4506172839506,3.26543209876543,0.537037037037037,0.487654320987654,0.234567901234568,7.49382716049383,8.9141975308642,4.94444444444444,0.00867283950617284
"778","SDP",2003,4.19,FALSE,1.79,0.314814814814815,34.141975308642,3.48765432098765,0.351851851851852,0.308641975308642,0.259259259259259,7.52469135802469,8.83395061728395,5.12962962962963,0.00892592592592593
"779","SEA",2003,4.91,FALSE,2.15,0.228395061728395,34.3271604938272,3.61728395061728,0.327160493827161,0.216049382716049,0.283950617283951,7.41975308641975,8.89506172839506,3.9320987654321,0.00773456790123457
"780","SFG",2003,4.69,TRUE,1.84,0.285714285714286,33.888198757764,3.6832298136646,0.248447204968944,0.472049689440994,0.242236024844721,7.37888198757764,8.92608695652174,3.96273291925466,0.00818633540372671
"781","STL",2003,5.41,FALSE,1.91,0.259259259259259,35.0123456790123,3.58024691358025,0.450617283950617,0.537037037037037,0.333333333333333,7.51234567901235,9.0320987654321,4.91358024691358,0.00865432098765432
"782","TBD",2003,4.41,FALSE,1.37,0.314814814814815,34.9012345679012,2.59259259259259,0.345679012345679,0.197530864197531,0.308641975308642,6.96913580246914,8.86543209876543,5.25925925925926,0.00899382716049383
"783","TEX",2003,5.1,FALSE,1.67,0.320987654320988,34.962962962963,3.01234567901235,0.462962962962963,0.148148148148148,0.259259259259259,7.04320987654321,8.8462962962963,5.98148148148148,0.00959259259259259
"784","TOR",2003,5.52,FALSE,2.03,0.246913580246914,34.9444444444444,3.37037037037037,0.555555555555556,0.0679012345679012,0.345679012345679,7.25308641975309,8.85802469135803,5.09876543209877,0.0087962962962963
"785","ANA",2004,5.16,TRUE,2.32,0.234567901234568,35.0308641975309,2.77777777777778,0.450617283950617,0.345679012345679,0.253086419753086,6.99382716049383,8.97592592592592,4.53086419753086,0.00839506172839506
"786","ARI",2004,3.8,FALSE,1.73,0.320987654320988,34.2222222222222,2.72222222222222,0.216049382716049,0.345679012345679,0.228395061728395,6.83950617283951,8.8641975308642,5.54938271604938,0.00923456790123457
