"","Tm","year","num_batters","BatAge","R.G","G","PA","AB","R","H","B2","B3","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS_plus","TB","GDP","HBP","SH","SF","IBB","LOB","playoffs"
"700","CHC",2001,43,30.7,4.8,162,38.3888888888889,33.3703703703704,4.7962962962963,8.69753086419753,1.65432098765432,0.197530864197531,1.19753086419753,4.61728395061728,0.41358024691358,0.222222222222222,3.56172839506173,6.64814814814815,0.261,0.336,0.43,0.766,101,14.3395061728395,0.814814814814815,0.407407407407407,0.722222222222222,0.327160493827161,0.444444444444444,7.1358024691358,FALSE
"701","CHW",2001,42,28.5,4.93,162,37.9691358024691,33.7283950617284,4.92592592592593,9.03086419753086,1.85185185185185,0.179012345679012,1.32098765432099,4.75308641975309,0.759259259259259,0.364197530864198,3.20987654320988,6.16049382716049,0.268,0.334,0.451,0.785,102,15.2037037037037,0.790123456790123,0.320987654320988,0.388888888888889,0.314814814814815,0.191358024691358,6.50617283950617,FALSE
"702","CIN",2001,50,28,4.54,162,38.4074074074074,34.462962962963,4.53703703703704,9.03703703703704,1.87654320987654,0.135802469135802,1.08641975308642,4.25925925925926,0.635802469135803,0.333333333333333,2.88888888888889,7.23456790123457,0.262,0.324,0.419,0.744,87,14.4444444444444,0.802469135802469,0.401234567901235,0.407407407407407,0.246913580246914,0.290123456790123,6.88271604938272,FALSE
"703","CLE",2001,44,31.1,5.54,162,39.2407407407407,34.5679012345679,5.53703703703704,9.62345679012346,1.81481481481481,0.228395061728395,1.30864197530864,5.35802469135802,0.487654320987654,0.253086419753086,3.56172839506173,6.64197530864198,0.278,0.35,0.458,0.807,111,15.820987654321,0.777777777777778,0.425925925925926,0.302469135802469,0.382716049382716,0.197530864197531,7.01234567901235,TRUE
"704","COL",2001,53,28.2,5.7,162,39.4691358024691,35.1234567901235,5.69753086419753,10.2654320987654,2,0.376543209876543,1.31481481481481,5.39506172839506,0.814814814814815,0.333333333333333,3.15432098765432,6.33950617283951,0.292,0.354,0.483,0.837,97,16.962962962963,0.716049382716049,0.376543209876543,0.5,0.308641975308642,0.308641975308642,7.14814814814815,FALSE
"705","DET",2001,44,28.2,4.47,162,37.9320987654321,34.179012345679,4.46913580246914,8.88271604938272,1.7962962962963,0.37037037037037,0.858024691358025,4.26543209876543,0.820987654320988,0.376543209876543,2.87654320987654,6,0.26,0.32,0.409,0.73,97,13.9938271604938,0.740740740740741,0.314814814814815,0.253086419753086,0.302469135802469,0.160493827160494,6.74691358024691,FALSE
"706","FLA",2001,42,27.3,4.58,162,38.1728395061728,34.2098765432099,4.58024691358025,9.01851851851852,2.00617283950617,0.185185185185185,1.02469135802469,4.40123456790123,0.549382716049383,0.246913580246914,2.90123456790123,7.0679012345679,0.264,0.326,0.423,0.749,95,14.4691358024691,0.728395061728395,0.41358024691358,0.37037037037037,0.277777777777778,0.265432098765432,6.89506172839506,FALSE
"707","HOU",2001,45,30.3,5.23,162,39.0432098765432,34.1234567901235,5.22839506172839,9.25925925925926,1.9320987654321,0.179012345679012,1.28395061728395,4.96913580246914,0.395061728395062,0.302469135802469,3.58641975308642,6.90740740740741,0.271,0.347,0.451,0.798,100,15.4012345679012,0.790123456790123,0.549382716049383,0.438271604938272,0.345679012345679,0.320987654320988,7.10493827160494,TRUE
"708","KCR",2001,44,28.2,4.5,162,38.1234567901235,34.8333333333333,4.5,9.27777777777778,1.70987654320988,0.228395061728395,0.938271604938272,4.26543209876543,0.617283950617284,0.259259259259259,2.50617283950617,5.54320987654321,0.266,0.318,0.409,0.727,86,14.2592592592593,0.827160493827161,0.271604938271605,0.222222222222222,0.290123456790123,0.191358024691358,6.7037037037037,FALSE
"709","LAD",2001,41,30.2,4.68,162,38.0802469135802,33.9074074074074,4.67901234567901,8.6358024691358,1.62962962962963,0.166666666666667,1.27160493827161,4.40740740740741,0.549382716049383,0.259259259259259,3.2037037037037,6.55555555555556,0.255,0.323,0.425,0.748,99,14.4135802469136,0.709876543209877,0.345679012345679,0.351851851851852,0.271604938271605,0.277777777777778,6.6358024691358,FALSE
