"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"163","KCR",1981,TRUE,8.5,20,18,2.5,16,24,23,20,5,2,13,24,8,14,14.5,21,19,11,19
"164","LAD",1981,TRUE,14.5,15,3.5,21.5,24,16,2,6,18,22,15,14,5,2,26,15,8,7,24
"165","MIL",1981,TRUE,24,24.5,18,4,3,21,22,7,6,3,12,4,21,15,2,26,4,17,2
"166","MIN",1981,FALSE,3,2,18,10.5,6.5,6,8,24,9,4,7,2,9.5,20,5.5,8,14.5,18,8
"167","MON",1981,TRUE,16,14,3.5,15.5,23,4,10,17,11,23,26,5,17,5,20,12,17,4,22
"168","NYM",1981,FALSE,2,7.5,18,15.5,15,5,6,25,24,9,14,11,26,16,4,20,7,9,10.5
"169","NYY",1981,TRUE,12,24.5,9.5,26,26,1,12.5,9.5,4,8,9,9,22.5,3,1,22,1,1,26
"170","OAK",1981,TRUE,18,17.5,18,10.5,9,12,1,15,26,12,6,3,11.5,6,24,1,24,16,16
"171","PHI",1981,TRUE,25,23,18,21.5,21,20,18,13,3,10,21,25,13,22,3,13,9,15,4
"172","PIT",1981,FALSE,13,12.5,9.5,13,12,25,25,21,13,21,19,12,24.5,19,14.5,23,12.5,25,23
"173","SDP",1981,FALSE,4,4,9.5,8,1,19,19,22.5,12,25,17,13,9.5,11,11,10.5,14.5,24,1
"174","SEA",1981,FALSE,10,10.5,18,5.5,6.5,23,9,2,19,7,5,10,16,26,5.5,10.5,11,21,3
"175","SFG",1981,FALSE,8.5,9,3.5,18.5,13.5,13,14,14,17,24,24,17,4,4,10,24,21,20,13
"176","STL",1981,FALSE,23,16,3.5,1,8,22,17,26,14,13.5,22,22,24.5,17,9,25,12.5,13,14
"177","TEX",1981,FALSE,19.5,12.5,9.5,13,19,18,24,3,2,6,20,8,19,8,23,4,16,6,17
"178","TOR",1981,FALSE,1,1,18,5.5,2,3,5,11,23,11,4,1,14.5,23,7.5,3,26,19,18
"179","ATL",1982,TRUE,20,13.5,15,14.5,14,8,4,1,20.5,24,18,16,22.5,13.5,11,26,11,15,10
"180","BAL",1982,FALSE,22,23,19,5.5,9,10,17,6,9,11,16,24,1,9,17,13,4,9,16
"181","BOS",1982,FALSE,21,19,21.5,16.5,17,21,23,9,4,7,6,22,4.5,18.5,20,11.5,24,21,22
"182","CAL",1982,TRUE,25,25,15,7,11,14,21,4,8,26,12,23,22.5,8,24,4.5,26,10,19.5
"183","CHC",1982,FALSE,10.5,9,15,12.5,16,13,14.5,21,20.5,17,17,8,11,16.5,6.5,20.5,20.5,11,5
"184","CHW",1982,FALSE,24,21,5,10,15,18.5,20,24,19,8,10.5,18,17,16.5,18,18.5,15.5,8,18
"185","CIN",1982,FALSE,1,2.5,5,25.5,19,6,10,13,15,23,15,15,4.5,7,11,9.5,17.5,17.5,14.5
"186","CLE",1982,FALSE,12,8,9.5,18,10,17,7.5,10.5,1,16,13,26,17,23.5,6.5,7.5,7,25,14.5
"187","DET",1982,FALSE,19,22,24,8,4,20,13,16.5,13,3,3,10,22.5,10,11,4.5,10,5,19.5
"188","HOU",1982,FALSE,2,1,2,19.5,22,1,12,22,16,15,21,7,17,4,24,9.5,23,1,7.5
"189","KCR",1982,FALSE,23,24,21.5,1,6,24,26,26,7,2,7,14,11,21,11,22.5,15.5,4,12.5
"190","LAD",1982,FALSE,14.5,15,2,19.5,24,25,6,10.5,10,25,26,25,11,2,26,6,7,12,21
"191","MIL",1982,TRUE,26,26,19,5.5,7,26,25,18,2,10,9,6,7,15,14,24,3,16,6
"192","MIN",1982,FALSE,7,16.5,26,16.5,2,15,11,19,23,1,4.5,11,22.5,25.5,6.5,7.5,1,23,2
"193","MON",1982,FALSE,16,16.5,9.5,22.5,25,16,22,15,14,19.5,23.5,20,11,3,15.5,20.5,7,2,25
"194","NYM",1982,FALSE,4,2.5,9.5,10,3,9,9,4,26,13.5,14,12,26,22,2.5,14,2,24,4
"195","NYY",1982,FALSE,17,18,9.5,22.5,23,11.5,7.5,14,3,9,10.5,19,22.5,20,2.5,16,7,17.5,12.5
"196","OAK",1982,FALSE,14.5,7,24,3.5,1,3,2,7,25,6,1,1,22.5,25.5,11,1,22,26,1
"197","PHI",1982,FALSE,8,10.5,2,25.5,26,4,16,2,17,19.5,19.5,9,17,5,24,11.5,19,3,17
"198","PIT",1982,FALSE,18,20,9.5,21,20,22,24,16.5,18,18,23.5,13,17,12,6.5,16,20.5,20,10
"199","SDP",1982,FALSE,10.5,4.5,15,10,12,18.5,5,24,22,21,25,2,4.5,6,15.5,18.5,17.5,14,10
"200","SEA",1982,FALSE,5.5,12,24,24,21,23,18,12,12,4,4.5,4,11,18.5,20,16,13,22,23.5
"201","SFG",1982,FALSE,9,10.5,9.5,14.5,18,7,3,8,24,12,22,21,11,11,2.5,22.5,13,19,7.5
"202","STL",1982,TRUE,13,6,5,2,5,5,14.5,24,11,22,19.5,17,4.5,1,20,25,7,7,23.5
"203","TEX",1982,FALSE,3,4.5,15,3.5,8,2,1,4,6,13.5,2,5,11,23.5,2.5,2,25,13,3
"204","TOR",1982,FALSE,5.5,13.5,19,12.5,13,11.5,19,20,5,5,8,3,2,13.5,22,3,13,6,26
"205","ATL",1983,FALSE,20,17,16,21,15,7,6,20,15,21,23,20,19.5,5,4,24,8.5,8,21
"206","BAL",1983,TRUE,25,24,16,8.5,19,15,23.5,3,8,7,12,21.5,4.5,10,22,12,1,6,23
"207","BOS",1983,FALSE,19,20,24.5,8.5,10,21,25,9,6,10,9.5,25,1,22,6.5,18.5,18.5,23,16
